站點,可借,可還,更新時間
YouBike2.0_央北三中央路口(全陽大璽),10,30,20220211163813
YouBike2.0_福和自強街28巷口,2,10,20220211163057
YouBike2.0_新北大道昌平街口(臨時站),4,12,20220211161816
YouBike2.0_丹鳳派出所,1,5,20220211164036
YouBike2.0_思賢國小(自由街),1,20,20220211163204
YouBike2.0_永和勵行街口,1,9,20220211164113
YouBike2.0_榮富國小,7,9,20220211162315
YouBike2.0_新莊國民運動中心(和興街),7,5,20220211163058
YouBike2.0_富貴森林公園,1,8,20220211163047
YouBike2.0_中正雙鳳路口,1,15,20220211161521
YouBike2.0_永和區公所公有新生市場,2,10,20220211161815
YouBike2.0_仁愛信義路口,4,16,20220211163213
YouBike2.0_龍安成德街口,0,12,20220211161521
YouBike2.0_民安西路252巷,3,12,20220211163414
YouBike2.0_中正路347巷口,0,13,20220211132536
YouBike2.0_大明街20巷19弄口,1,19,20220211152212
YouBike2.0_環河民樂街59巷26弄口,5,10,20220211163414
YouBike2.0_永和國中(國中路),0,15,20220211163520
YouBike2.0_中正路666巷口,0,10,20220211123404
YouBike2.0_永貞水源街口,3,9,20220211163057
YouBike2.0_保安保福路二段口,0,14,20220211160521
YouBike2.0_保福保福路二段133巷口,1,13,20220211161804
YouBike2.0_雙鳳公園,2,10,20220211163314
YouBike2.0_覺明寺(豐年街53巷),2,9,20220211163058
YouBike2.0_台灣科技總部,1,10,20220211163904
YouBike2.0_捷運新莊副都心站,9,1,20220211164214
YouBike2.0_捷運新北產業園區站,5,3,20220211163813
YouBike2.0_建中街90巷口,6,6,20220211163529
YouBike2.0_圓通綠廊,4,9,20220211163213
YouBike2.0_塭仔底濕地公園,1,14,20220211164204
YouBike2.0_新月二綠堤街口,0,21,20220211151804
YouBike2.0_國家電影及視聽文化中心,4,16,20220211164314
YouBike2.0_昌平國小,1,17,20220211163520
YouBike2.0_幸福中環路口,1,11,20220211114703
YouBike2.0_新民民族路口,16,4,20220211163613
YouBike2.0_新市三義山路口,6,14,20220211163813
YouBike2.0_水碓立體停車場,4,11,20220211162416
YouBike2.0_學成大義路口,3,5,20220211164314
YouBike2.0_新崑公園,2,28,20220211161816
YouBike2.0_新北市林口行政園區,0,14,20220211163204
YouBike2.0_林口郵局,0,5,20220211160104
YouBike2.0_俊英街219巷口,3,14,20220211163058
YouBike2.0_大安路307巷口,1,7,20220211163520
YouBike2.0_五股郵局,1,10,20220211155313
YouBike2.0_福基公園,1,6,20220211142124
YouBike2.0_宏匯廣場,2,8,20220211164214
YouBike2.0_林口國民運動中心,3,7,20220211153313
YouBike2.0_金山立體停車場(中興路),5,10,20220210141212
YouBike2.0_大同國小,8,2,20220211162527
YouBike2.0_中正淡海路口,2,13,20220211162714
YouBike2.0_新林國小,2,8,20220211163414
YouBike2.0_南勢市民活動中心,2,6,20220211162526
YouBike2.0_板南路492號,8,7,20220211164036
YouBike2.0_板新中山路一段口,7,8,20220211164113
YouBike2.0_雙十萬板路口,0,26,20220211140705
YouBike2.0_樹林區衛生所,1,6,20220211164314
YouBike2.0_億光電子(樹林高中),0,10,20220211161521
YouBike2.0_樹林大安活動中心,2,7,20220211163914
YouBike2.0_延吉街291巷口,0,8,20220211133532
YouBike2.0_華夏科技大學,2,28,20220211164036
YouBike2.0_輕軌淡金鄧公站,7,17,20220211150813
YouBike2.0_大智中山路口,6,14,20220211132115
YouBike2.0_捷運迴龍站(3號出口),6,7,20220211163613
YouBike2.0_樹林藝文綜合行政大樓,0,10,20220211163520
YouBike2.0_民生親子公園,0,6,20220211162105
YouBike2.0_三民翠華街口,3,7,20220211163813
YouBike2.0_三重棒球場,0,25,20220211151519
YouBike2.0_溪尾街196巷/仁美街口,9,9,20220211163913
YouBike2.0_六張公園,1,11,20220211160304
YouBike2.0_明德高中,0,15,20220211155904
YouBike2.0_行政院新莊聯合辦公大樓,1,11,20220211163414
YouBike2.0_中信國小,1,17,20220211160804
YouBike2.0_二橋虹橋公園,2,8,20220211151528
YouBike2.0_新莊文化藝術中心,4,8,20220211164113
YouBike2.0_南華路56巷,5,7,20220211163213
YouBike2.0_保平永和路一段口,6,9,20220211163813
YouBike2.0_清水高中,2,3,20220211163913
YouBike2.0_秀山國小,3,4,20220211163529
YouBike2.0_中山科學研究院,7,7,20220211093039
YouBike2.0_土城國中,0,14,20220211161521
YouBike2.0_頂埔國小,2,15,20220211162405
YouBike2.0_頂新祖田市民活動中心,1,13,20220211162704
YouBike2.0_青山廣場,2,5,20220211161531
YouBike2.0_自然公園,1,6,20220211161531
YouBike2.0_民視數位媒體總部,1,6,20220211164025
YouBike2.0_林口高中,0,4,20220211163405
YouBike2.0_捷運林口站(1號出口),6,7,20220211163314
YouBike2.0_新月橋,2,8,20220211164314
YouBike2.0_思賢國小,4,9,20220211163314
YouBike2.0_宏匯思源廣場,2,7,20220211125204
YouBike2.0_新北市立圖書館五股成功分館,2,4,20220211154033
YouBike2.0_林口婦幼公園,0,6,20220211162904
YouBike2.0_森林公園,4,4,20220211162527
YouBike2.0_三多國小,2,9,20220211162213
YouBike2.0_三井Outlet,0,13,20220211163520
YouBike2.0_中正仁愛街口,1,8,20220211160905
YouBike2.0_伯爵山莊第二期(康寧街),0,15,20220211145023
YouBike2.0_廣停二停車場,3,2,20220211164314
YouBike2.0_林口老街,6,11,20220211164213
YouBike2.0_福壽公園,4,4,20220211164214
YouBike2.0_捷運新莊站(2號出口),0,12,20220211164025
YouBike2.0_新泰路255巷口,0,6,20220211061512
YouBike2.0_頭前國中,0,15,20220211160905
YouBike2.0_柑園五里聯合活動中心,2,10,20220211161858
YouBike2.0_中華中原路口,3,8,20220211164314
YouBike2.0_民義公園,0,8,20220211125029
YouBike2.0_公五公園,2,8,20220211144614
YouBike2.0_四維公園,1,11,20220211162105
YouBike2.0_中和自強公園,2,4,20220211164036
YouBike2.0_鶯歌國中,2,8,20220211163529
YouBike2.0_永吉國小,3,7,20220211164036
YouBike2.0_鳳福公園,3,4,20220211153113
YouBike2.0_四維國凱街口(立天下社區),1,11,20220211141816
YouBike2.0_山佳火車站,1,7,20220210122813
YouBike2.0_學成大成路口,8,3,20220211163058
YouBike2.0_柑園國小,12,2,20220211154912
YouBike2.0_中山佳林路口,5,5,20220211163529
YouBike2.0_永福橋,1,4,20220211163613
YouBike2.0_新泰國中,0,12,20220211161204
YouBike2.0_海山高中,0,19,20220211160304
YouBike2.0_康寧街141巷口,8,7,20220211163112
YouBike2.0_學成大義路口(學成路一),9,4,20220211164036
YouBike2.0_新北市客家文化園區,6,11,20220211162813
YouBike2.0_龍恩公園,3,12,20220211163613
YouBike2.0_龍埔公園,0,5,20220211162104
YouBike2.0_深坑雲鄉路,3,3,20220211115912
YouBike2.0_麗林公有市場,1,5,20220211164204
YouBike2.0_三鶯國民運動中心,2,15,20220211162416
YouBike2.0_臺北大學(音律資訊大樓),5,15,20220211163213
YouBike2.0_大眾廟,2,6,20220211161531
YouBike2.0_昌平公園,10,3,20220211160814
YouBike2.0_捷運丹鳳站(1號出口),7,0,20220211163405
YouBike2.0_新莊勞工中心,2,3,20220211075214
YouBike2.0_捷運泰山站,0,10,20220211152104
YouBike2.0_頭湖國小,4,2,20220211141554
YouBike2.0_新麗園社區,5,5,20220211164314
YouBike2.0_林口社區運動公園,1,9,20220211163913
YouBike2.0_林口社區運動公園(公園路),4,6,20220211163529
YouBike2.0_安溪國中,6,3,20220211160413
YouBike2.0_龍埔國小,4,6,20220211163913
YouBike2.0_臺北大學體育館,0,22,20220211163047
YouBike2.0_林口自強公園,3,3,20220211162614
YouBike2.0_林口國小,4,2,20220211163529
YouBike2.0_大崙公園,2,3,20220211164314
YouBike2.0_瓊林南路101巷口,4,8,20220211163813
YouBike2.0_泰山國小,3,5,20220211152413
YouBike2.0_同興公園,1,7,20220211161531
YouBike2.0_台北花園廣場社區,0,8,20220211075904
YouBike2.0_縣民民族路口,1,11,20220211164314
YouBike2.0_御史路1巷,2,4,20220211161113
YouBike2.0_成泰路4段22巷,0,6,20220211162517
YouBike2.0_復興民生街口,4,4,20220211163913
YouBike2.0_三峽國中,0,8,20220211155904
YouBike2.0_西盛館,2,7,20220211163813
YouBike2.0_西盛公園,3,5,20220211164314
YouBike2.0_林口區公所,5,1,20220211164036
YouBike2.0_崇林國中,3,4,20220211164314
YouBike2.0_十三行博物館,4,6,20220211163213
YouBike2.0_凌雲路一段158巷口,2,7,20220211153714
YouBike2.0_德泰公園,2,11,20220211163213
YouBike2.0_陸光國宅,1,5,20220210190813
YouBike2.0_成泰路一段(中油),1,5,20220211162526
YouBike2.0_三峽區公所(三峽老街),2,3,20220211164314
YouBike2.0_中園國小,4,2,20220211164314
YouBike2.0_三峽區礁溪行政中心,1,7,20220211164314
YouBike2.0_貿商國宅,2,3,20220211162913
YouBike2.0_芳洲八路,5,1,20220211153047
YouBike2.0_台北得意GO,2,4,20220211162814
YouBike2.0_三峽國光青年社會住宅,0,8,20220211162104
YouBike2.0_國立臺北大學(三峽校區),20,9,20220211164036
YouBike2.0_樹林區公所,2,3,20220211163914
YouBike2.0_成州國小,0,6,20220211145704
YouBike2.0_金城裕民路口(中正國中),0,15,20220211163520
YouBike2.0_員林社區公園,3,10,20220211163529
YouBike2.0_海洋公園,0,5,20220211164025
YouBike2.0_福美公園,0,7,20220211154519
YouBike2.0_義學國小,2,4,20220211120114
YouBike2.0_義仁市民活動中心,0,6,20220211162305
YouBike2.0_捷運泰山貴和站,3,3,20220211154412
YouBike2.0_明志國小,5,4,20220211163714
YouBike2.0_貴和市民活動中心,3,5,20220211162416
YouBike2.0_明志科技大學,6,15,20220211162814
YouBike2.0_臺北醫院,0,5,20220211160304
YouBike2.0_尖山公園,1,5,20220211161805
YouBike2.0_國中二甲路口,1,4,20220211162105
YouBike2.0_捷運新莊站(1號出口),4,6,20220211164214
YouBike2.0_豐年國小,1,5,20220211163520
YouBike2.0_中華中央路一段242巷口,3,10,20220211162714
YouBike2.0_永昌里兒一公園,0,6,20220211142105
YouBike2.0_南雅育智路口,6,0,20220211162405
YouBike2.0_新莊田徑場,2,4,20220211162714
YouBike2.0_新泰游泳池,6,11,20220211164113
YouBike2.0_中山八德街口,0,6,20220211163520
YouBike2.0_央北社會住宅,3,3,20220211163529
YouBike2.0_延和社區公園,2,11,20220211163057
YouBike2.0_立德青雲路口,2,9,20220211164213
YouBike2.0_廣福派出所,1,8,20220211163704
YouBike2.0_興化公園,1,12,20220211163913
YouBike2.0_頭前運動公園,2,8,20220211163112
YouBike2.0_頭前國小,8,8,20220211160531
YouBike2.0_新市國小,1,5,20220211163204
YouBike2.0_漁人碼頭,5,3,20220211162527
YouBike2.0_滬尾藝文休閒園區,2,5,20220211163714
YouBike2.0_新北市勞工活動中心,4,2,20220211143712
YouBike2.0_深坑松柏街,3,3,20220211102711
YouBike2.0_深坑區公所(深坑老街),2,4,20220211161313
YouBike2.0_東南科技大學,1,5,20220211155532
YouBike2.0_中正北路193巷(愛買三重店),2,4,20220211163529
YouBike2.0_三重商工地下停車場,0,21,20220211162804
YouBike2.0_西盛廣場,2,8,20220211161816
YouBike2.0_新樹公園,3,6,20220211162913
YouBike2.0_育德國小,3,3,20220211155033
YouBike2.0_樹林火車站(後站),2,4,20220211164214
YouBike2.0_中山新興街口,0,6,20220211155024
YouBike2.0_中興路2段100巷口,0,6,20220211134904
YouBike2.0_寶橋路78巷,1,5,20220211161036
YouBike2.0_沛陂社區公園,0,6,20220211154804
YouBike2.0_中山1號科技總部,2,4,20220211163713
YouBike2.0_中華裕華街口,1,12,20220211163057
YouBike2.0_國泰街111巷口,0,9,20220211164404
YouBike2.0_夢奇地公園(文化路一段),1,19,20220211161858
YouBike2.0_瑞芳火車站,5,3,20220211163214
YouBike2.0_瑞芳運動公園,6,6,20220211115529
YouBike2.0_中山溫泉公園,3,3,20220211132413
YouBike2.0_鳳祥公園,2,5,20220211090104
YouBike2.0_鳳鳴國小,1,4,20220211075914
YouBike2.0_新北市工商展覽中心,2,6,20220211161858
YouBike2.0_仁愛公園(仁愛路),0,15,20220211163404
YouBike2.0_景新國小,0,12,20220211163520
YouBike2.0_力行地下停車場,3,6,20220211142124
YouBike2.0_三重親水公園,4,14,20220211151403
YouBike2.0_國際二國際一路口,2,7,20220211132223
YouBike2.0_國立師範大學林口校區,0,7,20220211161521
YouBike2.0_竹林山觀音寺,2,8,20220211163057
YouBike2.0_林口吉祥公園,4,12,20220211162614
YouBike2.0_鶯歌永利街,7,7,20220211164036
YouBike2.0_中山立仁街口,1,20,20220211125904
YouBike2.0_八德街東豐街口,6,6,20220211164214
YouBike2.0_柑園街一段51巷口,4,14,20220211141554
YouBike2.0_學勤大有路口,6,5,20220211163913
YouBike2.0_中華愛國路口,1,9,20220211075027
YouBike2.0_龍埔三樹路98巷口,3,19,20220211151913
YouBike2.0_重陽公園,1,5,20220211162904
YouBike2.0_板橋重慶公園,1,4,20220211163520
YouBike2.0_華江一華江六路口(仰真社區),0,6,20220211152304
YouBike2.0_環河西新月一街口(新月天地社區),1,5,20220211164314
YouBike2.0_藝文藝文二街口(大悅社區),0,6,20220211153524
YouBike2.0_華江九華江一路口(匯翠社區),0,6,20220211163405
YouBike2.0_重陽國小,3,16,20220211162526
YouBike2.0_文林國小,2,4,20220211162913
YouBike2.0_南樹林火車站,3,3,20220211155414
YouBike2.0_味王街,2,3,20220211085112
YouBike2.0_國光里(國光路),8,0,20220211164025
YouBike2.0_國光公園,4,2,20220211164036
YouBike2.0_香社一藝文街口(歡喜市社區),0,6,20220211163047
YouBike2.0_長壽親子公園,4,22,20220211163058
YouBike2.0_樹林國小,1,5,20220211162804
YouBike2.0_中山大安路口,5,5,20220211081029
YouBike2.0_台北慈濟醫院,8,0,20220211162704
YouBike2.0_捷運七張站(1號出口),1,9,20220211164314
YouBike2.0_捷運大坪林站(1號出口),2,4,20220211164214
YouBike2.0_寶高智慧產業園區,2,4,20220211152614
YouBike2.0_順德街(御中央3社區),3,3,20220209194524
YouBike2.0_彭福國小,7,8,20220211163058
YouBike2.0_東陽市民活動中心,4,2,20220211135553
YouBike2.0_龍鳳公園,0,15,20220211164025
YouBike2.0_十四張央北二路口(波爾多社區),0,6,20220211150905
YouBike2.0_新店高中(中央路),0,6,20220211163520
YouBike2.0_福德一路201巷口(福德ONE社區),0,6,20220211162105
YouBike2.0_矽谷園區,0,6,20220211164314
YouBike2.0_德光國光街口,3,3,20220211163813
YouBike2.0_錦和高中,5,0,20220211164404
YouBike2.0_民德立體停車場,0,6,20220211163804
YouBike2.0_永和耕莘醫院,3,2,20220211161815
YouBike2.0_捷運三重站(3號出口),6,4,20220211164213
YouBike2.0_仁愛街112巷,1,7,20220211163913
YouBike2.0_頂崁公園,0,6,20220211075304
YouBike2.0_新莊棒球場,2,10,20220211164314
YouBike2.0_中正新雅巷口,1,10,20220211163913
YouBike2.0_民安東民全街口,2,8,20220211160614
YouBike2.0_新北高工,0,13,20220211164404
YouBike2.0_中央慶利街口(風華綠中央社區),1,5,20220211161404
YouBike2.0_後港公園,1,5,20220211164314
YouBike2.0_福營行政中心,2,7,20220211164314
YouBike2.0_黃城公園,0,6,20220211161521
YouBike2.0_新泰公園,1,5,20220211162305
YouBike2.0_光華東帝士,0,6,20220211164204
YouBike2.0_昌隆國小,5,1,20220211164314
YouBike2.0_輔仁大學附設醫院,5,3,20220211164036
YouBike2.0_遠東動力企業總部,1,5,20220211163058
YouBike2.0_長風社區,3,5,20220211163913
YouBike2.0_建福公園,2,4,20220211154912
YouBike2.0_立泰里(中環路二段),6,0,20220211154304
YouBike2.0_伊吉邦社區,1,5,20220211161036
YouBike2.0_金城裕民路口(金城舞社區),0,6,20220211162105
YouBike2.0_青雲路451巷口(紐約艾美社區),1,4,20220211161804
YouBike2.0_學士學府路口(大苑社區),3,3,20220211153533
YouBike2.0_捷運輔大站(4號出口),0,10,20220211150905
YouBike2.0_捷運頭前庄站(1號出口),8,16,20220211164113
YouBike2.0_淺水灣,2,4,20220211151113
YouBike2.0_中港國小,2,7,20220211163813
YouBike2.0_湖南市民活動中心,3,4,20220211122313
YouBike2.0_仁愛文化二路口,0,7,20220211163520
YouBike2.0_林口新創園,0,8,20220211164314
YouBike2.0_立德公園,1,7,20220211163714
YouBike2.0_扶輪公園,1,7,20220211164025
YouBike2.0_恩主公醫院,0,16,20220211162904
YouBike2.0_安溪國小,5,4,20220211163314
YouBike2.0_介壽國小,8,1,20220211162913
YouBike2.0_立言公園,1,6,20220211162105
YouBike2.0_新莊中平國中,1,14,20220211163704
YouBike2.0_新莊體育館,1,8,20220211162814
YouBike2.0_中華自治街口,2,8,20220211163414
YouBike2.0_中港大排願景館,1,14,20220211155532
YouBike2.0_新莊國民運動中心,2,9,20220211163714
YouBike2.0_中華里(中華路二段),3,13,20220211163314
YouBike2.0_瓊林公園,5,4,20220211161913
YouBike2.0_化成公園,5,10,20220211163913
YouBike2.0_捷運海山站(3號出口),5,16,20220211164113
YouBike2.0_金城立體停車場,2,16,20220211163713
YouBike2.0_金城立德路口,0,9,20220211162105
YouBike2.0_楓樹腳公園,0,10,20220211164204
YouBike2.0_新五泰國民運動中心,2,14,20220211164204
YouBike2.0_成德公園,1,9,20220211153213
YouBike2.0_五股國民運動中心,1,9,20220210195904
YouBike2.0_捷運海山站(1號出口),13,11,20220211164314
YouBike2.0_員和公園,3,3,20220211164113
YouBike2.0_捷運土城站(2號出口),6,11,20220211162526
YouBike2.0_金城忠義路口,6,5,20220211163613
YouBike2.0_捷運永寧站(2號出口),5,8,20220211164036
YouBike2.0_樹林大安站,2,13,20220211164036
YouBike2.0_文林國小(潭興街),5,3,20220211164314
YouBike2.0_樹林國民運動中心,1,5,20220211143412
YouBike2.0_俊英俊保路口,2,4,20220211164036
YouBike2.0_野柳地質公園,5,6,20220211132547
YouBike2.0_白沙灣,6,1,20220211162315
YouBike2.0_德音國小,7,4,20220211103527
YouBike2.0_五股工商立體停車場,0,6,20220211162517
YouBike2.0_捷運幸福站,9,11,20220211164314
YouBike2.0_三多第1市民活動中心,2,9,20220211162714
YouBike2.0_俊興三龍街口,1,6,20220211155814
YouBike2.0_全球傳動科技公司,4,6,20220211161531
YouBike2.0_光華公園,1,7,20220211164036
YouBike2.0_樹林工業區,3,7,20220211163813
YouBike2.0_龍形停車場,1,6,20220211163213
YouBike2.0_鶯歌國民運動中心,2,7,20220211160713
YouBike2.0_尖山國中,2,6,20220211161531
YouBike2.0_鶯歌高級工商職業學校,0,7,20220211162105
YouBike2.0_下庄市場,1,9,20220211155212
YouBike2.0_八里行政中心,5,5,20220211120411
YouBike2.0_八里中庄市場綜合大樓,4,9,20220211163213
YouBike2.0_大崁國小,1,9,20220211161858
YouBike2.0_龍米停車場,1,5,20220211164213
YouBike2.0_鶯歌火車站(仁愛路),14,0,20220211163704
YouBike2.0_新北市立圖書館鶯歌分館,4,1,20220211150914
YouBike2.0_鶯歌陶瓷博物館,3,7,20220211162405
YouBike2.0_頂埔市場,2,4,20220211164213
YouBike2.0_新城一路(守讓堂),4,11,20220211161858
YouBike2.0_新北高工(學士路),4,9,20220211161614
YouBike2.0_清水社區公園,1,7,20220211164314
YouBike2.0_土城仁愛社區公園,0,10,20220211162305
YouBike2.0_清和里(青雲路),3,7,20220211164314
YouBike2.0_中華城林路口,0,6,20220211163047
YouBike2.0_土城綜合體育場,0,12,20220211161521
YouBike2.0_亞洲員安路口,4,7,20220211161036
YouBike2.0_斬龍山遺址文化公園,1,11,20220211163613
YouBike2.0_中央路一段292巷口,2,8,20220211163913
