站點,可借,可還,更新時間
YouBike2.0_捷運頂埔站(2號出口),1,13,20220211164036
YouBike2.0_大安中央路口,0,17,20220211162305
YouBike2.0_學成公園,7,1,20220211163813
YouBike2.0_溪頭公園,0,8,20220211142304
YouBike2.0_捷運頂溪站(2號出口),0,11,20220211163704
YouBike2.0_板橋車站,1,15,20220211164314
YouBike2.0_水河里活動中心,5,7,20220211162136
YouBike2.0_蘆洲重陽大樓,0,7,20220211163204
YouBike2.0_中正路284巷,0,7,20220211150304
YouBike2.0_金龍公園,3,3,20220211161815
YouBike2.0_五堵火車站,9,0,20220211162405
YouBike2.0_汐止區公所,0,6,20220211163904
YouBike2.0_仁愛路151巷口,2,13,20220211163613
YouBike2.0_捷運永安市場站,0,10,20220211163704
YouBike2.0_汐止區綜合運動場,0,9,20220211123904
YouBike2.0_秀朗成功路口,1,12,20220211162517
YouBike2.0_雙和橋,0,5,20220211163804
YouBike2.0_東海高中,1,5,20220211154712
YouBike2.0_新北市立圖書館三重分館,3,4,20220211163414
YouBike2.0_龍門公園,1,14,20220211162804
YouBike2.0_永福國小,3,4,20220211163613
YouBike2.0_太陽公園,1,10,20220211163520
YouBike2.0_輕軌崁頂站,1,7,20220211162117
YouBike2.0_中和公園,2,13,20220211163314
YouBike2.0_同安公園,1,12,20220211163613
YouBike2.0_二重國小,0,10,20220211163704
YouBike2.0_三民中山一路口,1,7,20220211162704
YouBike2.0_永安兒童公園,2,6,20220211155814
YouBike2.0_鷺江廣場,1,7,20220211164036
YouBike2.0_仁愛街70巷口,1,7,20220211163405
YouBike2.0_中興北街175巷口,6,3,20220211162415
YouBike2.0_淡水國民運動中心,9,8,20220211163414
YouBike2.0_保長公園,1,5,20220211151213
YouBike2.0_捷運先嗇宮站(2號出口),3,15,20220211155532
YouBike2.0_藍天大樓,1,9,20220211163713
YouBike2.0_淡水公23公園,3,5,20220211163414
YouBike2.0_捷運新店站,6,3,20220211163613
YouBike2.0_永盛公園,3,4,20220211164213
YouBike2.0_捷運三和國中站(1號出口),1,7,20220211163913
YouBike2.0_自強溪尾街口,0,10,20220211164204
YouBike2.0_臺大醫院金山分院,9,7,20220211090527
YouBike2.0_中山環金路口,1,8,20220211120812
YouBike2.0_金美國小,0,8,20220211155705
YouBike2.0_金山八德街,3,5,20220211090613
YouBike2.0_中角灣,2,6,20220211154312
YouBike2.0_捷運秀朗橋站,4,4,20220211163613
YouBike2.0_德光莒光路口,1,7,20220211163520
YouBike2.0_華江一華江九路口,0,15,20220211163047
YouBike2.0_板橋戶政事務所,7,1,20220211163414
YouBike2.0_汐止公園,0,10,20220211140704
YouBike2.0_汐止火車站停車場,7,5,20220211162714
YouBike2.0_崇德國小,2,5,20220211163057
YouBike2.0_長安橋(吉祥街12巷),0,5,20220211153037
YouBike2.0_上林里(環河東路一段),1,4,20220211164204
YouBike2.0_蘆洲延平派出所,3,4,20220211161816
YouBike2.0_碧潭西岸,0,7,20220211162105
YouBike2.0_青潭國小,3,2,20220211074914
YouBike2.0_光復國小,0,8,20220211164404
YouBike2.0_北港國小,0,7,20220211134204
YouBike2.0_康寧街307巷,4,12,20220211163057
YouBike2.0_忠山市民活動中心,0,12,20220211124519
YouBike2.0_碧華公園(集勇街),3,7,20220211164314
YouBike2.0_新北高中,0,20,20220211160339
YouBike2.0_中興寶慶街口,7,1,20220211161816
YouBike2.0_新和活動中心,0,6,20220211151804
YouBike2.0_瑞峰橋,5,5,20220211162213
YouBike2.0_國泰綜合醫院,5,3,20220211164213
YouBike2.0_三重五常公園,4,11,20220211141554
YouBike2.0_五福里(五華街),1,10,20220211163704
YouBike2.0_中正民權路口,2,10,20220211164314
YouBike2.0_惠國市場,0,8,20220211143904
YouBike2.0_中興中正路口,1,7,20220211164404
YouBike2.0_新店行政園區,1,6,20220211160115
YouBike2.0_光明街,1,6,20220211163047
YouBike2.0_捷運新店區公所站(1號出口),3,5,20220211162814
YouBike2.0_新北市立圖書館新店分館,3,4,20220211162814
YouBike2.0_安和公園,2,8,20220211163529
YouBike2.0_綠湖公園,1,7,20220211091527
YouBike2.0_安成安德街口,0,8,20220211133532
YouBike2.0_青潭河濱公園,1,7,20220210074312
YouBike2.0_安康立體停車場,1,7,20220211163204
YouBike2.0_中印青潭廠,2,5,20220211163913
YouBike2.0_捷運大坪林站(5號出口),2,13,20220211153914
YouBike2.0_裕隆公園,4,4,20220211163813
YouBike2.0_忠誠里(北新路2段97巷),1,19,20220211162117
YouBike2.0_新店公有中央市場,1,7,20220211162416
YouBike2.0_建國民權路口,6,7,20220211163613
YouBike2.0_安和市民活動中心,2,6,20220211164214
YouBike2.0_淡江大學(水源街),0,16,20220211154204
YouBike2.0_大鵬華城,1,7,20220211163058
YouBike2.0_淡水海關碼頭園區,0,10,20220211163047
YouBike2.0_正德國中,0,8,20220211162517
YouBike2.0_板橋國民運動中心,1,8,20220211163405
YouBike2.0_臺灣藝術大學,0,10,20220211161804
YouBike2.0_林本源園邸,4,4,20220211162714
YouBike2.0_埔墘國小,0,8,20220211164404
YouBike2.0_石雕公園,6,2,20220211164113
YouBike2.0_中山國中,0,7,20220211164404
YouBike2.0_振義里公園,2,6,20220211163529
YouBike2.0_民生中山路口,1,7,20220211164025
YouBike2.0_重慶國小,1,7,20220211163529
YouBike2.0_新北市藝文中心(文化路二段124巷),5,3,20220211164214
YouBike2.0_板橋中山公園,3,5,20220211164314
YouBike2.0_浮洲合宜住宅(合宜一路),4,4,20220211162135
YouBike2.0_民族二街明峰街口,0,7,20220211112104
YouBike2.0_康福公園,0,8,20220211115521
YouBike2.0_汐止火車站,3,8,20220211164213
YouBike2.0_橋東里(忠孝東路),4,3,20220211163529
YouBike2.0_崇德橋東活動中心,0,8,20220211133532
YouBike2.0_世貿國家公園社區,2,5,20220211163613
YouBike2.0_蘭庭序大廈,2,4,20220211162305
YouBike2.0_秀得里(成功路二段),0,8,20220211164304
YouBike2.0_文化白雲公園,1,7,20220211164025
YouBike2.0_連興龍安路口,2,6,20220211162416
YouBike2.0_南興公園,0,7,20220211163047
YouBike2.0_捷運府中站(1號出口),7,7,20220211164214
YouBike2.0_江翠國中,3,3,20220211163913
YouBike2.0_板橋第二運動場(皇翔建設),0,32,20220211163405
YouBike2.0_遠雄左岸,1,14,20220211163057
YouBike2.0_瓦磘溝(福真里),4,5,20220211164113
YouBike2.0_佳和公園,5,8,20220211163057
YouBike2.0_金龍國小,4,6,20220211162613
YouBike2.0_二重國中,5,3,20220211162526
YouBike2.0_蘆洲國民運動中心,5,11,20220211163714
YouBike2.0_永和國父紀念館,0,7,20220211163704
YouBike2.0_永和自由街,0,8,20220211154704
YouBike2.0_民權社區活動中心,0,8,20220211130104
YouBike2.0_白雲國小,0,7,20220211162804
YouBike2.0_三重商工,3,9,20220211164314
YouBike2.0_頂溪國小,1,7,20220211164025
YouBike2.0_保平路214巷,0,8,20220211160304
YouBike2.0_環河西路一段95巷口,0,8,20220211130104
YouBike2.0_忠孝活動中心,1,7,20220211155203
YouBike2.0_中和環球購物中心,1,5,20220211160115
YouBike2.0_華福市民活動中心,2,6,20220211161036
YouBike2.0_中和區公所,5,2,20220211163057
YouBike2.0_飛駝社區(興南路),1,9,20220211164304
YouBike2.0_安樂宜安路口,0,7,20220211164025
YouBike2.0_圓通路335巷33弄,2,6,20220211163314
YouBike2.0_山北公園,3,5,20220211153213
YouBike2.0_華南頂埔科技大樓,10,30,20220211162117
YouBike2.0_積穗國中,2,6,20220211163913
YouBike2.0_興南路二段34巷口,0,8,20220211154519
YouBike2.0_捷運中和站,1,7,20220211164304
YouBike2.0_福祥里(中和溝),1,6,20220211162517
YouBike2.0_環河西路三段(日安社區),3,5,20220211151113
YouBike2.0_中和地政事務所,6,2,20220211164113
YouBike2.0_員勝公園,2,6,20220211155714
YouBike2.0_元氣大鎮社區,3,5,20220211163529
YouBike2.0_中興北街42巷17弄,3,5,20220211123812
YouBike2.0_慈愛公園,2,3,20220211163414
YouBike2.0_進安公園,0,8,20220211145204
YouBike2.0_集成成功路口,5,3,20220211163529
YouBike2.0_翔譽雙子星,0,8,20220211153804
YouBike2.0_穀保家商,0,8,20220211163904
YouBike2.0_正義公園,2,6,20220211160614
YouBike2.0_大智公園,3,5,20220211164204
YouBike2.0_捷運三重國小站,5,7,20220211164213
YouBike2.0_碧華公園,0,8,20220211163904
YouBike2.0_先嗇宮,0,7,20220211161521
YouBike2.0_信義公園,7,1,20220211163613
YouBike2.0_開元市民活動中心,6,2,20220211163529
YouBike2.0_五峰國中,0,12,20220211144521
YouBike2.0_小金門友誼公園,1,11,20220211164314
YouBike2.0_深澳漁港,1,7,20220211151023
YouBike2.0_文德國小(公館街),3,11,20220211163813
YouBike2.0_聯合醫院板橋院區,2,14,20220211163714
YouBike2.0_新海長江路口,5,10,20220211155613
YouBike2.0_中正橋,1,9,20220211164314
YouBike2.0_福和橋,0,5,20220211135404
YouBike2.0_民生路156巷,2,3,20220211155914
YouBike2.0_新店新和國小,2,3,20220211163520
YouBike2.0_陽光Park社區,1,4,20220211163314
YouBike2.0_安康高中,0,5,20220211140905
YouBike2.0_柴埕市民活動中心,0,5,20220211134204
YouBike2.0_碧潭渡船頭,0,6,20220211160704
YouBike2.0_安光公園,1,7,20220211164314
YouBike2.0_安居公教住宅,2,4,20220211145032
YouBike2.0_文山國中,1,6,20220211154213
YouBike2.0_福和路7巷口,0,5,20220211135804
YouBike2.0_大觀國中,0,15,20220211163405
YouBike2.0_萬板文聖街口,3,8,20220211164314
YouBike2.0_縣民漢生東路口,5,10,20220211161614
YouBike2.0_板橋四維公園,6,9,20220211164314
YouBike2.0_四維公園地下停車場,4,11,20220211163813
YouBike2.0_崑崙公園,1,7,20220211155204
YouBike2.0_浮洲合宜住宅(樂群路),1,9,20220211162305
YouBike2.0_永豐公園活動中心,2,6,20220211163058
YouBike2.0_三重永豐公園,3,4,20220211164036
YouBike2.0_廣福公園,0,8,20220211164204
YouBike2.0_潤泰社區,0,7,20220211162105
YouBike2.0_三抱竹,1,7,20220211161026
YouBike2.0_明志國中,1,13,20220211163204
YouBike2.0_華新街109巷11弄,0,7,20220211080104
YouBike2.0_大觀路二段19巷,1,4,20220211163520
YouBike2.0_華江一華江五路口(雙江翠社區),4,10,20220211163529
YouBike2.0_中正新月二街口(富江翠社區),6,34,20220211123613
YouBike2.0_蘆洲三民公園,0,4,20220211162105
YouBike2.0_仁愛廣場,5,5,20220211163714
YouBike2.0_永平公園,1,5,20220211163704
YouBike2.0_林建生紀念圖書館,0,9,20220211162105
YouBike2.0_三民高中(民權路),4,14,20220211163613
YouBike2.0_捷運三民高中站(1號出口),7,5,20220211164214
YouBike2.0_音樂公園,1,9,20220211164404
YouBike2.0_寶橋路235巷口,0,8,20220211150704
YouBike2.0_中和青年社會住宅,2,7,20220211140544
YouBike2.0_捷運中原站,7,1,20220211163520
YouBike2.0_保安永平路口,2,5,20220211163057
YouBike2.0_汐科火車站(北),6,2,20220211164213
YouBike2.0_青山國民中小學,0,6,20220211151204
YouBike2.0_三德公園,0,9,20220211135404
YouBike2.0_新北市藝文中心,5,9,20220211164214
YouBike2.0_板橋國中,0,8,20220211164204
YouBike2.0_捷運蘆洲站,7,11,20220211164214
YouBike2.0_捷運江子翠站(3號出口),1,19,20220211164214
YouBike2.0_民生長江路口,7,5,20220211164113
YouBike2.0_柳堤公園,2,6,20220211155313
YouBike2.0_彩虹兒童公園,5,5,20220211162814
YouBike2.0_永翠藝文街口(大禾社區),2,4,20220211164113
YouBike2.0_永翠藝文街口(柏克萊公園社區),1,4,20220211164404
YouBike2.0_藝文二永翠路口(青峰社區),1,4,20220211155033
YouBike2.0_文化路二段182巷1弄,2,7,20220211164113
YouBike2.0_輕軌淡金北新站,6,7,20220211155613
YouBike2.0_鴨母港抽水站,2,13,20220211161614
YouBike2.0_捷運板橋站(3號出口),6,19,20220211164314
YouBike2.0_輕軌淡江大學站,3,7,20220211164314
YouBike2.0_板橋果菜批發市場,2,8,20220211151528
YouBike2.0_永和國民運動中心,0,10,20220211163520
YouBike2.0_福和國中停車場,0,8,20220211154704
YouBike2.0_福和國中,1,7,20220211161216
YouBike2.0_秀朗國小,1,7,20220211164314
YouBike2.0_永康公園,3,18,20220211162416
YouBike2.0_捷運徐匯中學站(1號出口),7,1,20220211163914
YouBike2.0_溪墘公園,0,7,20220211162105
YouBike2.0_蘆洲中路公園,6,13,20220211162416
YouBike2.0_永和國小,0,7,20220211160905
YouBike2.0_捷運板橋站(1號出口),5,24,20220211163813
YouBike2.0_時光公園,3,7,20220211145913
YouBike2.0_江翠國小,4,6,20220211163913
YouBike2.0_仁化文新路口,0,8,20220211163804
YouBike2.0_輕軌新市一路站,5,7,20220211162814
YouBike2.0_捷運淡水站,11,8,20220211164314
YouBike2.0_輕軌漁人碼頭站,2,10,20220211162614
YouBike2.0_龍門龍濱路口,4,2,20220211163913
YouBike2.0_東方科學園區,4,7,20220211153047
YouBike2.0_捷運竹圍站,1,7,20220211163058
YouBike2.0_捷運紅樹林站,3,17,20220211164214
YouBike2.0_竿蓁市民活動中心,0,5,20220211164025
YouBike2.0_中山北新春街口,1,7,20220211163405
YouBike2.0_汐科火車站(南),3,10,20220211163913
YouBike2.0_原興廣場,4,4,20220211162117
YouBike2.0_福和宮,4,3,20220211150813
YouBike2.0_永安公園,3,21,20220211163913
YouBike2.0_板橋第一運動場,0,8,20220211164025
YouBike2.0_捷運新埔站(4號出口),8,12,20220211163813
YouBike2.0_新市一路一段99巷口,6,1,20220211164036
YouBike2.0_永安南路九芎街71巷口,0,9,20220211150105
YouBike2.0_蘆洲李宅古蹟,0,5,20220211162305
YouBike2.0_永安圖書館,0,10,20220211150519
YouBike2.0_蘆洲中原公園,0,6,20220211163047
YouBike2.0_竹圍公園,4,7,20220211164036
YouBike2.0_大庄一號公園,1,6,20220211164113
YouBike2.0_輕軌沙崙站,3,3,20220211162814
YouBike2.0_文化機車立體停車場,0,7,20220211162804
YouBike2.0_輕軌淡水行政中心站,8,7,20220211162913
YouBike2.0_新市二路四段,7,3,20220211163913
YouBike2.0_永平高中,0,5,20220211161804
YouBike2.0_仁愛公園,1,19,20220211164404
YouBike2.0_捷運新埔站(2號出口),5,15,20220211164036
YouBike2.0_新市二路二段,6,9,20220211163529
YouBike2.0_輕軌淡海新市鎮站,3,7,20220211163913
YouBike2.0_美麗新淡海影城,0,16,20220211164304
YouBike2.0_義山新市一路口,2,8,20220211151113
YouBike2.0_臺北海洋科技大學,0,9,20220211161805
YouBike2.0_中和安和路口,0,9,20220211161804
YouBike2.0_民樂人行廣場,1,5,20220211164036
YouBike2.0_碧河宮,3,6,20220211160913
YouBike2.0_圓通錦和路口,0,9,20220211160804
YouBike2.0_輕軌濱海義山站,6,2,20220211164314
YouBike2.0_輕軌濱海沙崙站,6,10,20220211162614
YouBike2.0_捷運景平站,4,16,20220211163913
YouBike2.0_名利橋,2,5,20220211163913
YouBike2.0_保順環河西路口,2,8,20220211164113
YouBike2.0_崑崙活力廣場,2,8,20220211161816
YouBike2.0_浮洲火車站,8,4,20220211163714
YouBike2.0_馥華公園,8,11,20220211163414
YouBike2.0_板橋福德公園,0,15,20220211162305
YouBike2.0_溪北公園,4,4,20220211162614
YouBike2.0_新北市立圖書館總館,3,3,20220211164036
YouBike2.0_中和國民運動中心,0,15,20220211164304
YouBike2.0_光復高中,0,25,20211126003803
YouBike2.0_莒光國小,3,4,20220211161113
YouBike2.0_安邦公園,3,11,20220211163213
YouBike2.0_信義公園市民活動中心,1,14,20220211151031
YouBike2.0_浮洲合宜住宅(合安一路),0,8,20220211164304
YouBike2.0_中原東街(左岸牡丹園),1,14,20220211155313
YouBike2.0_板橋真武廟,4,3,20220211163613
YouBike2.0_板橋地政事務所,3,11,20220211164314
YouBike2.0_環河西大漢街口,5,1,20220211152529
YouBike2.0_四川忠孝路口,2,4,20220211164214
YouBike2.0_莊敬公園,2,9,20220211163214
YouBike2.0_板橋和平公園,6,8,20220211164036
YouBike2.0_民生公園,2,8,20220211163813
YouBike2.0_板橋仁愛公園,4,13,20220211163913
YouBike2.0_捷運新埔民生站,4,3,20220211164314
YouBike2.0_埤墘公園,2,6,20220211163057
YouBike2.0_力行大勇街口,2,6,20220211164213
YouBike2.0_後竹圍市民活動中心,0,12,20220211164025
YouBike2.0_和平公園,1,11,20220211163213
YouBike2.0_六合公園,5,7,20220211163112
YouBike2.0_三張公園,1,10,20220211162405
YouBike2.0_厚德公園,2,9,20220211164036
YouBike2.0_修德國小,0,14,20220211163047
YouBike2.0_忠孝國中,1,10,20220211163529
YouBike2.0_南雅公園,2,3,20220211162814
YouBike2.0_浮洲合宜住宅(合宜合安一路口),1,7,20220211151023
YouBike2.0_板橋信義公園,0,15,20220211164204
YouBike2.0_聯邦公園,2,13,20220211164314
YouBike2.0_文中小停車場,4,5,20220211163529
YouBike2.0_三重行政中心,2,14,20220211163713
YouBike2.0_捷運菜寮站(3號出口),9,5,20220211162913
YouBike2.0_三重綜合體育館,7,4,20220211162117
YouBike2.0_三重商工(後竹圍街),0,8,20220211162804
YouBike2.0_新店高中,0,5,20220211162517
YouBike2.0_中正國小,1,5,20220211160304
YouBike2.0_崇光女中,1,4,20220211144521
YouBike2.0_環河福德南路口,1,8,20220211164404
YouBike2.0_三光國小(金滿意),0,7,20220211155403
YouBike2.0_溪洲公園停車場,3,12,20220211161816
YouBike2.0_華德公園,2,18,20220211162714
YouBike2.0_湳雅觀光夜市(津渡橋),12,3,20220211163813
YouBike2.0_陽光橋,7,9,20220211164314
YouBike2.0_捷運小碧潭站(1號出口),0,6,20220211141058
YouBike2.0_捷運十四張站,11,3,20220211164214
YouBike2.0_光興國小,3,3,20220211163057
YouBike2.0_興華公園,2,3,20220211164314
YouBike2.0_捷運新埔站(5號出口),8,0,20220211162517
YouBike2.0_捷運新埔站(1號出口),3,11,20220211163913
YouBike2.0_捷運板新站,0,14,20220211163405
YouBike2.0_健華新城社區,1,19,20220211164314
YouBike2.0_三重國民運動中心,1,9,20220211164025
YouBike2.0_捷運三重站(1號出口),1,11,20220211163713
YouBike2.0_中興橋(環河南路254巷口),1,5,20220211163520
YouBike2.0_疏洪東竹圍仔街口,1,5,20220211073521
YouBike2.0_中興寶橋路口,2,7,20220211164036
YouBike2.0_北新國小,1,10,20220211163704
YouBike2.0_重新重安街口,8,1,20220211163904
YouBike2.0_三重高中,1,11,20220211163704
YouBike2.0_樟樹國小,0,17,20220211163804
YouBike2.0_台灣科學園區,9,6,20220211163213
YouBike2.0_雍和科學園區,5,10,20220211163713
YouBike2.0_雙和醫院,1,6,20220211163414
YouBike2.0_捷運景安站,0,16,20220211164025
YouBike2.0_東勢宜興活動中心,2,9,20220211142124
YouBike2.0_工建樟樹一路口,0,8,20220211163204
YouBike2.0_中華電信學院,0,9,20220211135304
YouBike2.0_天山公園(永安街),0,14,20220211164204
YouBike2.0_漳和國中,0,15,20220211163704
YouBike2.0_光華橋(保平路),3,12,20220211163713
YouBike2.0_捷運南勢角站(4號出口),5,4,20220211164213
YouBike2.0_中正路161巷口,2,6,20220211163314
YouBike2.0_景安板南路口,0,9,20220211164304
YouBike2.0_新北市立中和高級中學,0,6,20220211164025
YouBike2.0_民享藝文特區,6,9,20220211163713
YouBike2.0_民有公園,0,11,20220211163404
YouBike2.0_捷運橋和站,5,3,20220211162117
YouBike2.0_板林溪北路口,3,12,20220211164314
YouBike2.0_捷運亞東醫院站(2號出口),14,4,20220211164314
YouBike2.0_四川遠東路口,0,12,20220211163904
YouBike2.0_環河公園,2,6,20220211162416
YouBike2.0_新北市政府(新府路),4,12,20220211164213
YouBike2.0_新北市政府(新站路),9,9,20220211164314
